Start Pump Cost Test Experiment, test 2 times for each blocksizes
1. fixed beta = 80, threads = 32, gpus = 2 

Starting a pnjBKZ-80 tour for dim=260. 
Intial Slope = -0.06787
k:41, b:92, f:29  , RAM cost: 1.7227 GB, Pump Cost: 21.5203 s 
k:42, b:92, f:29  , RAM cost: 1.7226 GB, Pump Cost: 20.9650 s 
k:43, b:92, f:29  , RAM cost: 1.7228 GB, Pump Cost: 20.2722 s 
k:44, b:92, f:29  , RAM cost: 1.7226 GB, Pump Cost: 22.0220 s 
k:45, b:92, f:29  , RAM cost: 1.7226 GB, Pump Cost: 21.6779 s 
k:46, b:92, f:29  , RAM cost: 1.7230 GB, Pump Cost: 21.8713 s 
k:47, b:92, f:29  , RAM cost: 1.7226 GB, Pump Cost: 21.9946 s 
k:48, b:92, f:29  , RAM cost: 1.7230 GB, Pump Cost: 23.7194 s 
k:49, b:92, f:29  , RAM cost: 1.7227 GB, Pump Cost: 25.5108 s 
k:50, b:92, f:29  , RAM cost: 1.7227 GB, Pump Cost: 23.6383 s 
k:51, b:92, f:29  , RAM cost: 1.7230 GB, Pump Cost: 26.2601 s 
k:52, b:92, f:29  , RAM cost: 1.7227 GB, Pump Cost: 26.5134 s 
k:53, b:92, f:29  , RAM cost: 1.7231 GB, Pump Cost: 24.9641 s 
k:54, b:92, f:29  , RAM cost: 1.7229 GB, Pump Cost: 26.1704 s 
k:55, b:92, f:29  , RAM cost: 1.7228 GB, Pump Cost: 24.2492 s 
k:56, b:92, f:29  , RAM cost: 1.7230 GB, Pump Cost: 28.6397 s 
k:57, b:92, f:29  , RAM cost: 1.7231 GB, Pump Cost: 25.7145 s 
k:58, b:92, f:29  , RAM cost: 1.7230 GB, Pump Cost: 26.9598 s 
k:59, b:92, f:29  , RAM cost: 1.7231 GB, Pump Cost: 25.0035 s 
k:60, b:92, f:29  , RAM cost: 1.7231 GB, Pump Cost: 26.9805 s 
k:61, b:92, f:29  , RAM cost: 1.7228 GB, Pump Cost: 26.9562 s 
k:62, b:92, f:29  , RAM cost: 1.7228 GB, Pump Cost: 28.7743 s 
k:63, b:92, f:29  , RAM cost: 1.7230 GB, Pump Cost: 26.3012 s 
k:64, b:92, f:29  , RAM cost: 1.7232 GB, Pump Cost: 27.2528 s 
k:65, b:92, f:29  , RAM cost: 1.7232 GB, Pump Cost: 29.4047 s 
k:66, b:92, f:29  , RAM cost: 1.7229 GB, Pump Cost: 29.4405 s 
k:67, b:92, f:29  , RAM cost: 1.7232 GB, Pump Cost: 26.5409 s 
k:68, b:92, f:29  , RAM cost: 1.7231 GB, Pump Cost: 29.2295 s 
k:69, b:92, f:29  , RAM cost: 1.7229 GB, Pump Cost: 26.9208 s 
k:70, b:92, f:29  , RAM cost: 1.7229 GB, Pump Cost: 28.9773 s 
k:71, b:92, f:29  , RAM cost: 1.7231 GB, Pump Cost: 28.7481 s 
k:72, b:92, f:29  , RAM cost: 1.7231 GB, Pump Cost: 28.3683 s 
k:73, b:92, f:29  , RAM cost: 1.7232 GB, Pump Cost: 28.8378 s 
